,Sex,LSM (mm),Diameter (mm),Height (mm),Weight_of_Abalone (grams),Weight_Of_Meat (mm),Gut_Weight_After_Bleeding (grams),Shell_Weight (grams),Rings
2458,1,0.2,0.145,0.05,0.036000000000000004,0.0125,0.008,0.011000000000000001,4.0
901,1,0.3,0.23,0.095,0.1385,0.055999999999999994,0.0365,0.037000000000000005,6.0
3552,1,0.525,0.39,0.105,0.5670000000000001,0.2875,0.1075,0.16,8.0
1012,2,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10.0
656,0,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17.0
2074,0,0.585,0.485,0.15,1.079,0.4145,0.2115,0.35600000000000004,11.0
4173,2,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10.0
1132,0,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9.0
2903,0,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,8.0
1547,1,0.38,0.29,0.1,0.237,0.10800000000000001,0.0395,0.08199999999999999,6.0
297,1,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4.0
833,1,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7.0
575,0,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11.0
2269,2,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12.0
22,0,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12.0
1161,2,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8.0
3655,2,0.53,0.41,0.125,0.769,0.34600000000000003,0.17300000000000001,0.215,9.0
2863,2,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,11.0
559,1,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,13.0
667,0,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,15.0
574,1,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10.0
4021,0,0.69,0.58,0.195,1.6580000000000001,0.708,0.3615,0.4715,10.0
182,0,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10.0
1813,0,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9.0
62,0,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10.0
3647,1,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8.0
1585,1,0.515,0.36,0.125,0.4725,0.1815,0.125,0.138,9.0
2099,0,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10.0
3815,1,0.46,0.34,0.1,0.386,0.1805,0.0875,0.0965,8.0
1718,2,0.65,0.505,0.19,1.274,0.59,0.23,0.391,11.0
3845,2,0.455,0.35,0.105,0.41600000000000004,0.1625,0.09699999999999999,0.145,11.0
414,0,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14.0
3232,2,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13.0
604,1,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12.0
581,1,0.55,0.425,0.15,0.8059999999999999,0.376,0.171,0.245,14.0
3273,0,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,13.0
419,2,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13.0
3554,1,0.53,0.42,0.13,0.6579999999999999,0.29600000000000004,0.1245,0.198,8.0
2674,2,0.595,0.46,0.14,0.852,0.4215,0.2255,0.22699999999999998,9.0
1687,0,0.62,0.48,0.175,1.0405,0.46399999999999997,0.2225,0.3,9.0
2750,1,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,8.0
1020,2,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10.0
3088,1,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,8.0
2745,1,0.485,0.38,0.125,0.5215,0.2215,0.11800000000000001,0.16,8.0
3889,2,0.62,0.5,0.2,1.2209999999999999,0.4605,0.263,0.43,12.0
2472,2,0.645,0.515,0.175,1.6115,0.6745,0.384,0.385,14.0
522,1,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,9.0
1338,2,0.58,0.455,0.135,0.7955,0.405,0.16699999999999998,0.204,10.0
2742,1,0.46,0.345,0.105,0.415,0.187,0.087,0.11,8.0
601,0,0.385,0.315,0.11,0.28600000000000003,0.1225,0.0635,0.0835,10.0
1937,2,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,9.0
3884,1,0.29,0.225,0.075,0.152,0.071,0.059000000000000004,0.045,9.0
928,1,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6.0
3127,0,0.62,0.485,0.155,1.1945,0.5105,0.271,0.35200000000000004,9.0
558,0,0.66,0.53,0.17,1.3259999999999998,0.519,0.2625,0.44,13.0
1236,1,0.375,0.275,0.09,0.218,0.09300000000000001,0.0405,0.0755,6.0
1838,1,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,8.0
1297,1,0.53,0.415,0.13,0.6940000000000001,0.3905,0.111,0.16699999999999998,9.0
1039,0,0.66,0.475,0.18,1.3695,0.6409999999999999,0.294,0.335,6.0
3001,2,0.64,0.495,0.165,1.307,0.6779999999999999,0.292,0.266,11.0
3050,2,0.595,0.47,0.175,0.991,0.382,0.2395,0.5,12.0
3616,2,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14.0
1764,1,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,5.0
2824,1,0.46,0.365,0.115,0.511,0.2365,0.11800000000000001,0.12300000000000001,7.0
2102,1,0.41,0.31,0.11,0.315,0.124,0.08199999999999999,0.095,9.0
518,2,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4.0
515,2,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,6.0
2521,2,0.54,0.42,0.12,0.8115,0.392,0.1455,0.2235,9.0
1689,2,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10.0
495,0,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15.0
781,2,0.505,0.385,0.15,0.6415,0.24600000000000002,0.152,0.215,12.0
372,0,0.68,0.58,0.2,1.787,0.585,0.45299999999999996,0.6,19.0
2474,2,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,14.0
1572,1,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9.0
1083,1,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7.0
2452,2,0.395,0.305,0.105,0.282,0.0975,0.065,0.096,9.0
1449,2,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,6.0
3453,0,0.555,0.42,0.11,0.9309999999999999,0.4445,0.171,0.225,8.0
4167,2,0.5,0.38,0.125,0.5770000000000001,0.26899999999999996,0.1265,0.1535,9.0
1298,1,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,10.0
1238,1,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,8.0
36,0,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16.0
2414,1,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9.0
1658,1,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8.0
2143,2,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10.0
1221,1,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5.0
2188,2,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12.0
3229,0,0.64,0.505,0.19,1.2765,0.4835,0.32799999999999996,0.4,12.0
1583,1,0.51,0.395,0.13,0.6025,0.281,0.14300000000000002,0.162,7.0
584,0,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11.0
4035,1,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11.0
3903,2,0.635,0.48,0.235,1.064,0.413,0.228,0.36,16.0
4155,1,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6.0
2335,2,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23.0
2214,0,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8.0
1034,0,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9.0
1114,1,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9.0
1712,0,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,9.0
514,0,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5.0
154,0,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12.0
1641,2,0.575,0.445,0.16,0.8390000000000001,0.4005,0.198,0.239,9.0
2782,2,0.6,0.48,0.09,1.05,0.457,0.2685,0.28,8.0
3603,1,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,7.0
1147,2,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9.0
3398,2,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9.0
3897,0,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,17.0
3444,0,0.49,0.4,0.115,0.569,0.256,0.1325,0.145,9.0
69,1,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6.0
2398,1,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14.0
3982,1,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,6.0
1171,2,0.625,0.48,0.185,1.2065,0.5870000000000001,0.29,0.28600000000000003,8.0
379,0,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,12.0
2090,2,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17.0
3810,1,0.525,0.4,0.125,0.5655,0.2435,0.11900000000000001,0.175,8.0
958,1,0.5,0.385,0.12,0.56,0.2835,0.10300000000000001,0.135,8.0
3583,0,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9.0
3118,2,0.51,0.415,0.145,0.7509999999999999,0.3295,0.1835,0.203,8.0
1765,1,0.375,0.245,0.1,0.39399999999999996,0.166,0.091,0.1125,6.0
306,1,0.165,0.12,0.03,0.0215,0.006999999999999999,0.005,0.005,3.0
3564,1,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965,9.0
156,0,0.575,0.46,0.19,0.9940000000000001,0.392,0.2425,0.34,13.0
3313,2,0.4,0.31,0.11,0.314,0.138,0.057,0.1,11.0
3364,2,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,11.0
3722,1,0.465,0.36,0.105,0.452,0.22,0.159,0.1035,9.0
2165,0,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9.0
2718,1,0.355,0.255,0.08,0.187,0.078,0.0505,0.057999999999999996,7.0
1141,1,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10.0
3791,0,0.65,0.495,0.175,1.227,0.528,0.258,0.37,11.0
159,0,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13.0
1429,1,0.14,0.105,0.035,0.013999999999999999,0.0055,0.0025,0.004,3.0
2507,1,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,7.0
3852,2,0.55,0.41,0.15,0.785,0.282,0.18600000000000003,0.275,12.0
142,2,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16.0
2267,0,0.61,0.48,0.175,1.0675,0.391,0.21600000000000003,0.42,15.0
3166,0,0.64,0.54,0.175,1.571,0.627,0.271,0.475,18.0
1569,1,0.475,0.36,0.145,0.6325,0.2825,0.13699999999999998,0.19,8.0
3317,2,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7.0
1318,1,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,9.0
3955,1,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9.0
1797,1,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8.0
1903,2,0.575,0.445,0.145,0.8759999999999999,0.3795,0.1615,0.27,10.0
2014,1,0.47,0.375,0.105,0.441,0.16699999999999998,0.0865,0.145,10.0
1341,2,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,10.0
3382,2,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15.0
1819,2,0.695,0.53,0.19,1.726,0.7625,0.436,0.455,11.0
1376,2,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,10.0
3926,1,0.58,0.42,0.16,0.728,0.2725,0.19,0.19,14.0
2560,1,0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,7.0
0,2,0.455,0.365,0.095,0.514,0.2245,0.10099999999999999,0.15,15.0
3033,2,0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,8.0
1752,2,0.71,0.56,0.22,2.015,0.9215,0.45399999999999996,0.5660000000000001,11.0
1109,2,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9.0
290,2,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17.0
2769,1,0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,11.0
2927,0,0.61,0.47,0.195,1.2735,0.469,0.3315,0.39799999999999996,12.0
4097,2,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,9.0
4176,2,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12.0
2537,1,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,11.0
1014,0,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9.0
336,2,0.6,0.475,0.19,1.0875,0.40299999999999997,0.2655,0.325,14.0
3659,2,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9.0
4054,0,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,10.0
3910,2,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,13.0
3307,0,0.45,0.325,0.135,0.43799999999999994,0.1805,0.1165,0.11,9.0
3012,1,0.39,0.3,0.1,0.2665,0.1105,0.059000000000000004,0.084,7.0
3451,2,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8.0
4031,1,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8.0
2820,1,0.375,0.285,0.09,0.2545,0.11900000000000001,0.0595,0.0675,6.0
2128,2,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,12.0
353,2,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9.0
325,1,0.355,0.275,0.09,0.251,0.09699999999999999,0.053,0.08,7.0
3704,2,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,11.0
348,1,0.375,0.305,0.115,0.2715,0.092,0.07400000000000001,0.09,8.0
1394,2,0.64,0.565,0.23,1.521,0.644,0.37200000000000005,0.406,15.0
4144,2,0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,11.0
3642,1,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8.0
3242,2,0.635,0.48,0.19,1.4669999999999999,0.5825,0.303,0.42,15.0
721,2,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,13.0
2955,2,0.65,0.52,0.195,1.676,0.693,0.44,0.47,15.0
2069,2,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9.0
3275,2,0.46,0.355,0.11,0.415,0.215,0.08199999999999999,0.13,12.0
1247,1,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8.0
2119,1,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9.0
1705,2,0.64,0.525,0.185,1.7069999999999999,0.763,0.4205,0.4435,11.0
651,1,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6.0
2347,2,0.505,0.4,0.13,0.764,0.3035,0.18899999999999997,0.2175,11.0
2758,2,0.535,0.43,0.155,0.7845,0.3285,0.16899999999999998,0.245,10.0
2339,2,0.64,0.52,0.2,1.4069999999999998,0.5660000000000001,0.304,0.455,17.0
2185,2,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9.0
1646,1,0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,9.0
1038,2,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10.0
1730,2,0.665,0.505,0.16,1.2890000000000001,0.6145,0.253,0.3665,11.0
2266,0,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14.0
2800,0,0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,11.0
2151,0,0.745,0.585,0.19,1.966,0.8435,0.43700000000000006,0.5855,18.0
1512,0,0.65,0.5,0.16,1.3825,0.7020000000000001,0.304,0.3195,9.0
2519,1,0.505,0.39,0.185,0.6125,0.267,0.142,0.172,7.0
3494,0,0.555,0.43,0.135,0.812,0.4055,0.163,0.2215,9.0
966,1,0.51,0.375,0.1,0.5785,0.23800000000000002,0.1225,0.175,7.0
4006,2,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,9.0
3288,0,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15.0
329,1,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,8.0
2381,2,0.155,0.115,0.025,0.024,0.009000000000000001,0.005,0.0075,5.0
232,2,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22.0
945,2,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8.0
1234,1,0.375,0.29,0.095,0.213,0.096,0.040999999999999995,0.061,5.0
707,0,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10.0
283,2,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14.0
3120,0,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223,9.0
805,2,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7.0
1528,2,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,13.0
904,1,0.315,0.23,0.07,0.14400000000000002,0.053,0.0305,0.04,8.0
861,0,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,12.0
2842,2,0.6,0.475,0.175,1.11,0.5105,0.256,0.285,9.0
1175,2,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10.0
2413,0,0.505,0.38,0.145,0.6509999999999999,0.2935,0.19,0.17,12.0
2162,0,0.71,0.565,0.195,1.817,0.785,0.49200000000000005,0.49,11.0
4053,0,0.625,0.485,0.165,1.2255,0.5075,0.29600000000000004,0.36,10.0
2287,0,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7.0
285,0,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10.0
2657,0,0.545,0.4,0.14,0.778,0.368,0.215,0.18,9.0
1433,1,0.37,0.27,0.095,0.23199999999999998,0.1325,0.040999999999999995,0.0615,6.0
2013,2,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10.0
177,1,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8.0
2170,2,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7.0
1469,2,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8.0
665,0,0.395,0.295,0.095,0.2245,0.078,0.054000000000000006,0.08,10.0
1366,1,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.28600000000000003,9.0
3409,1,0.395,0.31,0.095,0.313,0.131,0.07200000000000001,0.09300000000000001,7.0
3233,0,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,12.0
3902,1,0.16,0.12,0.02,0.018000000000000002,0.0075,0.0045,0.005,4.0
2041,1,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054000000000000006,8.0
1651,0,0.595,0.435,0.15,0.9,0.4175,0.17,0.265,8.0
1424,0,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,11.0
2276,0,0.62,0.48,0.23,1.0935,0.40299999999999997,0.245,0.355,14.0
1941,0,0.625,0.47,0.145,0.9840000000000001,0.475,0.2,0.265,11.0
35,2,0.465,0.355,0.105,0.4795,0.22699999999999998,0.124,0.125,8.0
402,0,0.435,0.325,0.11,0.4335,0.17800000000000002,0.0985,0.155,7.0
2250,2,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11.0
926,1,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7.0
3726,1,0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455,8.0
436,1,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,7.0
273,2,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15.0
441,1,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8.0
1914,2,0.595,0.455,0.15,0.8859999999999999,0.4315,0.201,0.223,10.0
2033,2,0.61,0.49,0.16,1.112,0.465,0.228,0.341,10.0
872,2,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9.0
4172,0,0.565,0.45,0.165,0.887,0.37,0.239,0.249,11.0
3804,1,0.355,0.27,0.1,0.2255,0.11,0.042,0.064,7.0
2698,0,0.665,0.505,0.165,1.349,0.5985,0.3175,0.36,9.0
1413,2,0.675,0.545,0.185,1.7375,0.8759999999999999,0.3135,0.469,13.0
3310,0,0.62,0.485,0.165,1.166,0.483,0.23800000000000002,0.355,13.0
1791,2,0.55,0.42,0.16,1.3405,0.6325,0.311,0.344,10.0
1775,1,0.485,0.365,0.105,0.5205,0.195,0.12300000000000001,0.182,8.0
3110,1,0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895,8.0
2424,2,0.26,0.2,0.065,0.096,0.044000000000000004,0.027000000000000003,0.03,6.0
1219,1,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6.0
3674,0,0.595,0.45,0.165,1.081,0.49,0.2525,0.27899999999999997,12.0
3580,0,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10.0
736,2,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12.0
3405,1,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,7.0
821,1,0.37,0.275,0.14,0.2215,0.09699999999999999,0.0455,0.0615,6.0
1309,1,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,10.0
3254,0,0.435,0.35,0.105,0.4195,0.19399999999999998,0.1005,0.13,7.0
2207,2,0.42,0.34,0.115,0.4215,0.175,0.09300000000000001,0.135,8.0
2568,1,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7.0
491,2,0.58,0.46,0.13,0.9209999999999999,0.35700000000000004,0.18100000000000002,0.29,13.0
3249,2,0.3,0.24,0.09,0.161,0.0725,0.039,0.05,6.0
304,0,0.47,0.36,0.13,0.47200000000000003,0.182,0.114,0.15,10.0
3502,2,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10.0
512,0,0.49,0.38,0.145,0.6725,0.249,0.18100000000000002,0.21,10.0
788,0,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9.0
2449,0,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9.0
1876,1,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192,9.0
1742,0,0.68,0.51,0.2,1.6075,0.7140000000000001,0.33899999999999997,0.4705,11.0
2693,2,0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,9.0
2699,2,0.67,0.5,0.2,1.2690000000000001,0.5760000000000001,0.2985,0.35100000000000003,11.0
1087,1,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8.0
2982,0,0.51,0.37,0.21,1.183,0.508,0.292,0.34299999999999997,9.0
1213,1,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5.0
925,1,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7.0
1987,1,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4.0
2989,2,0.56,0.425,0.135,0.9415,0.509,0.2015,0.1975,9.0
996,2,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,11.0
1842,1,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,7.0
672,0,0.53,0.41,0.165,0.8115,0.24,0.16899999999999998,0.24,19.0
387,2,0.46,0.38,0.135,0.48200000000000004,0.207,0.1225,0.145,10.0
1684,1,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,9.0
3138,2,0.51,0.4,0.14,0.6905,0.259,0.151,0.23,10.0
3278,2,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12.0
579,0,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17.0
440,1,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10.0
1977,0,0.7,0.575,0.205,1.7730000000000001,0.605,0.447,0.5379999999999999,13.0
3345,0,0.48,0.38,0.145,0.59,0.23199999999999998,0.141,0.23,12.0
4125,1,0.54,0.415,0.135,0.7090000000000001,0.3195,0.174,0.185,9.0
944,0,0.465,0.35,0.125,0.48200000000000004,0.23,0.106,0.1095,6.0
3788,0,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8.0
3720,0,0.38,0.32,0.115,0.6475,0.32299999999999995,0.1325,0.16399999999999998,7.0
3980,0,0.525,0.41,0.115,0.7745,0.41600000000000004,0.163,0.18,7.0
2536,0,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,12.0
1442,1,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5.0
3347,2,0.415,0.32,0.1,0.3005,0.1215,0.0575,0.10400000000000001,11.0
1721,2,0.655,0.55,0.18,1.274,0.586,0.281,0.365,10.0
4055,0,0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,9.0
4159,0,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,9.0
3746,1,0.36,0.265,0.085,0.1865,0.0675,0.037000000000000005,0.0615,7.0
554,1,0.485,0.39,0.125,0.591,0.287,0.141,0.12,9.0
30,2,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10.0
541,0,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,11.0
2035,2,0.66,0.515,0.195,1.5655,0.7345,0.353,0.386,9.0
1159,2,0.605,0.48,0.17,1.1835,0.5820000000000001,0.2365,0.317,10.0
2541,0,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,9.0
1726,0,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,12.0
2740,1,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8.0
1367,2,0.61,0.48,0.17,1.137,0.4565,0.29,0.34700000000000003,10.0
299,2,0.37,0.28,0.105,0.23399999999999999,0.0905,0.0585,0.075,9.0
3054,2,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12.0
2220,0,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8.0
936,1,0.45,0.335,0.105,0.447,0.2335,0.153,0.11900000000000001,7.0
2564,1,0.45,0.35,0.125,0.4775,0.2235,0.08900000000000001,0.11800000000000001,6.0
3515,0,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,12.0
2117,0,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7.0
4082,1,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,9.0
1908,2,0.575,0.475,0.145,0.857,0.3665,0.17300000000000001,0.26899999999999996,9.0
3005,2,0.68,0.54,0.21,1.7885,0.8345,0.408,0.43700000000000006,13.0
955,2,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8.0
3956,0,0.515,0.395,0.14,0.6859999999999999,0.281,0.1255,0.22,12.0
446,2,0.565,0.435,0.185,0.9815,0.32899999999999996,0.136,0.39,13.0
3895,0,0.595,0.5,0.18,1.053,0.4405,0.192,0.39,13.0
3853,0,0.57,0.465,0.155,0.9685,0.446,0.261,0.255,9.0
3164,0,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,13.0
1925,0,0.61,0.47,0.165,1.1785,0.5660000000000001,0.2785,0.294,11.0
4018,2,0.66,0.485,0.155,1.2275,0.61,0.27399999999999997,0.3,8.0
1067,1,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5.0
1481,0,0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,9.0
337,2,0.59,0.45,0.185,1.2830000000000001,0.473,0.276,0.425,16.0
2160,2,0.69,0.55,0.2,1.8465,0.732,0.47200000000000003,0.57,19.0
2575,2,0.5,0.375,0.145,0.6215,0.27399999999999997,0.166,0.1485,7.0
1146,2,0.58,0.445,0.135,0.8140000000000001,0.3775,0.1915,0.22,9.0
3667,0,0.585,0.42,0.155,1.034,0.43700000000000006,0.2225,0.32,11.0
3038,1,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,9.0
3223,2,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8.0
874,0,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11.0
